,index,Job Title,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Hourly,Employer provided,Salary_Min,Salary_Max,Lower Salary,Upper Salary,Avg Salary(K),company_txt,Job Location,Age,job_title_sim,seniority_by_title,Degree
0,0,Data Scientist,3.8,"Tecolote Research
3.8","Albuquerque, NM","Goleta, CA",501 - 1000 ,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),-1,0,0,53,91 ,53,91,72.0,Tecolote Research,NM,48,data scientist,na,M
1,1,Healthcare Data Scientist,3.4,"University of Maryland Medical System
3.4","Linthicum, MD","Baltimore, MD",10000+ ,1984,Other Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,0,0,63,112 ,63,112,87.5,University of Maryland Medical System,MD,37,data scientist,na,M
2,2,Data Scientist,4.8,"KnowBe4
4.8","Clearwater, FL","Clearwater, FL",501 - 1000 ,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),-1,0,0,80,90 ,80,90,85.0,KnowBe4,FL,11,data scientist,na,M
3,3,Data Scientist,3.8,"PNNL
3.8","Richland, WA","Richland, WA",1001 - 5000 ,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,56,97 ,56,97,76.5,PNNL,WA,56,data scientist,na,na
4,4,Data Scientist,2.9,"Affinity Solutions
2.9","New York, NY","New York, NY",51 - 200 ,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee",0,0,86,143 ,86,143,114.5,Affinity Solutions,NY,23,data scientist,na,na
5,5,Data Scientist,3.4,"CyrusOne
3.4","Dallas, TX","Dallas, TX",201 - 500 ,2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),"Digital Realty, CoreSite, Equinix",0,0,71,119 ,71,119,95.0,CyrusOne,TX,21,data scientist,na,na
6,6,Data Scientist,4.1,"ClearOne Advantage
4.1","Baltimore, MD","Baltimore, MD",501 - 1000 ,2008,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1,0,0,54,93 ,54,93,73.5,ClearOne Advantage,MD,13,data scientist,na,na
7,7,Data Scientist,3.8,"Logic20/20
3.8","San Jose, CA","Seattle, WA",201 - 500 ,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1,0,0,86,142 ,86,142,114.0,Logic20/20,CA,16,data scientist,na,M
8,8,Research Scientist,3.3,"Rochester Regional Health
3.3","Rochester, NY","Rochester, NY",10000+ ,2014,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1,0,0,38,84 ,38,84,61.0,Rochester Regional Health,NY,7,other scientist,na,P
9,9,Data Scientist,4.6,"<intent>
4.6","New York, NY","New York, NY",51 - 200 ,2009,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Clicktripz, SmarterTravel",0,0,120,160 ,120,160,140.0,<intent>,NY,12,data scientist,na,na
10,10,Data Scientist,3.5,"Wish
3.5","San Jose, CA","San Francisco, CA",501 - 1000 ,2011,Company - Private,Other Retail Stores,Retail,$1 to $2 billion (USD),-1,0,0,126,201 ,126,201,163.5,Wish,CA,10,data scientist,na,na
11,11,Data Scientist,4.1,"ManTech
4.1","Chantilly, VA","Herndon, VA",5001 - 10000 ,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1,0,0,64,106 ,64,106,85.0,ManTech,VA,53,data scientist,na,na
12,12,Staff Data Scientist - Technology,3.2,"Walmart
3.2","Plano, TX","Bentonville, AR",10000+ ,1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),"Target, Costco Wholesale, Amazon",0,0,106,172 ,106,172,139.0,Walmart,TX,59,data scientist,na,M
13,13,Data Analyst,4.1,"Yesler
4.1","Seattle, WA","Seattle, WA",201 - 500 ,2012,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,0,0,46,85 ,46,85,65.5,Yesler,WA,9,analyst,na,na
14,14,Data Scientist,3.7,"Takeda Pharmaceuticals
3.7","Cambridge, MA","OSAKA, Japan",10000+ ,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,83,144 ,83,144,113.5,Takeda Pharmaceuticals,MA,240,data scientist,na,M
