,index,Job Title,Rating,Company Name,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Salary_Min,Salary_Max,Lower Salary,Upper Salary,Avg Salary(K),company_txt,Job Location,Age,job_title_sim,seniority_by_title,Degree,Location_City,Location_State,Headquarters_City,Headquarters_State
0,0,Data Scientist,3.8,Tecolote Research,501 - 1000 ,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),-1,53,91 ,53,91,72.0,Tecolote Research,NM,48,data scientist,na,M,Albuquerque,NM,Goleta,CA
1,1,Healthcare Data Scientist,3.4,University of Maryland Medical System,10000+ ,1984,Other Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,63,112 ,63,112,87.5,University of Maryland Medical System,MD,37,data scientist,na,M,Linthicum,MD,Baltimore,MD
2,2,Data Scientist,4.8,KnowBe4,501 - 1000 ,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),-1,80,90 ,80,90,85.0,KnowBe4,FL,11,data scientist,na,M,Clearwater,FL,Clearwater,FL
3,3,Data Scientist,3.8,PNNL,1001 - 5000 ,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",56,97 ,56,97,76.5,PNNL,WA,56,data scientist,na,na,Richland,WA,Richland,WA
4,4,Data Scientist,2.9,Affinity Solutions,51 - 200 ,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee",86,143 ,86,143,114.5,Affinity Solutions,NY,23,data scientist,na,na,New York,NY,New York,NY
5,5,Data Scientist,3.4,CyrusOne,201 - 500 ,2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),"Digital Realty, CoreSite, Equinix",71,119 ,71,119,95.0,CyrusOne,TX,21,data scientist,na,na,Dallas,TX,Dallas,TX
6,6,Data Scientist,4.1,ClearOne Advantage,501 - 1000 ,2008,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1,54,93 ,54,93,73.5,ClearOne Advantage,MD,13,data scientist,na,na,Baltimore,MD,Baltimore,MD
7,7,Data Scientist,3.8,Logic20/20,201 - 500 ,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1,86,142 ,86,142,114.0,Logic20/20,CA,16,data scientist,na,M,San Jose,CA,Seattle,WA
8,8,Research Scientist,3.3,Rochester Regional Health,10000+ ,2014,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1,38,84 ,38,84,61.0,Rochester Regional Health,NY,7,other scientist,na,P,Rochester,NY,Rochester,NY
9,9,Data Scientist,4.6,<intent>,51 - 200 ,2009,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Clicktripz, SmarterTravel",120,160 ,120,160,140.0,<intent>,NY,12,data scientist,na,na,New York,NY,New York,NY
10,10,Data Scientist,3.5,Wish,501 - 1000 ,2011,Company - Private,Other Retail Stores,Retail,$1 to $2 billion (USD),-1,126,201 ,126,201,163.5,Wish,CA,10,data scientist,na,na,San Jose,CA,San Francisco,CA
11,11,Data Scientist,4.1,ManTech,5001 - 10000 ,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1,64,106 ,64,106,85.0,ManTech,VA,53,data scientist,na,na,Chantilly,VA,Herndon,VA
12,12,Staff Data Scientist - Technology,3.2,Walmart,10000+ ,1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),"Target, Costco Wholesale, Amazon",106,172 ,106,172,139.0,Walmart,TX,59,data scientist,na,M,Plano,TX,Bentonville,AR
13,13,Data Analyst,4.1,Yesler,201 - 500 ,2012,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,46,85 ,46,85,65.5,Yesler,WA,9,analyst,na,na,Seattle,WA,Seattle,WA
14,14,Data Scientist,3.7,Takeda Pharmaceuticals,10000+ ,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",83,144 ,83,144,113.5,Takeda Pharmaceuticals,MA,240,data scientist,na,M,Cambridge,MA,OSAKA,Japan
15,15,Data Engineer I,3.6,Audible,1001 - 5000 ,1995,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,Unknown / Non-Applicable,-1,102,190 ,102,190,146.0,Audible,NJ,26,data engineer,na,na,Newark,NJ,Newark,NJ
16,16,"Scientist I/II, Biology",3.9,Blueprint Medicines,51 - 200 ,2011,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),"bluebird bio, Agios Pharmaceuticals, Celgene",67,137 ,67,137,102.0,Blueprint Medicines,MA,10,other scientist,na,P,Cambridge,MA,Cambridge,MA
17,17,Customer Data Scientist,4.3,h2o.ai,201 - 500 ,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,118,189 ,118,189,153.5,h2o.ai,CA,10,data scientist,na,M,Mountain View,CA,Mountain View,CA
18,18,Data Scientist - Health Data Analytics,4.2,Nuna,51 - 200 ,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,110,175 ,110,175,142.5,Nuna,CA,11,data scientist,na,na,San Francisco,CA,San Francisco,CA
19,19,Data Scientist,4.0,Pinnacol Assurance,501 - 1000 ,1915,Nonprofit Organization,Insurance Carriers,Insurance,$500 million to $1 billion (USD),-1,64,111 ,64,111,87.5,Pinnacol Assurance,CO,106,data scientist,na,M,Denver,CO,Denver,CO
20,20,Data Scientist,3.2,Porch,201 - 500 ,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Angie's List, HomeAdvisor, Thumbtack",81,130 ,81,130,105.5,Porch,WA,9,data scientist,na,M,Seattle,WA,Seattle,WA
21,21,Senior Data Scientist / Machine Learning,3.9,Health IQ,201 - 500 ,2013,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,-1,73,119 ,73,119,96.0,Health IQ,TX,8,data scientist,sr,P,Dallas,TX,Mountain View,CA
22,22,Data Scientist - Quantitative,3.8,Truckstop.com,501 - 1000 ,1995,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,-1,86,139 ,86,139,112.5,Truckstop.com,IL,26,data scientist,na,M,Chicago,IL,New Plymouth,ID
23,23,Data Scientist,4.3,SMC 3,51 - 200 ,1935,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million (USD),-1,63,105 ,63,105,84.0,SMC 3,KY,86,data scientist,na,M,Louisville,KY,Peachtree City,GA
24,25,Data Scientist,4.0,Novetta,501 - 1000 ,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton",109,177 ,109,177,143.0,Novetta,VA,9,data scientist,na,na,Herndon,VA,Mc Lean,VA
25,26,Digital Health Data Scientist,4.0,Pfizer,10000+ ,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,63,110 ,63,110,86.5,Pfizer,MA,172,data scientist,na,na,Cambridge,MA,New York,NY
26,27,Data Scientist,3.5,First Tech Federal Credit Union,1001 - 5000 ,1952,Company - Private,Banks & Credit Unions,Finance,$100 to $500 million (USD),-1,75,124 ,75,124,99.5,First Tech Federal Credit Union,OR,69,data scientist,na,na,Hillsboro,OR,San Jose,CA
27,28,Associate Data Analyst,3.7,The Hanover Insurance Group,5001 - 10000 ,1852,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),-1,34,61 ,34,61,47.5,The Hanover Insurance Group,MA,169,analyst,na,na,Worcester,MA,Worcester,MA
28,29,Clinical Data Scientist,4.0,Pfizer,10000+ ,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,63,105 ,63,105,84.0,Pfizer,CT,172,data scientist,na,M,Groton,CT,New York,NY
29,30,Data Scientist,4.8,KnowBe4,501 - 1000 ,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),-1,80,90 ,80,90,85.0,KnowBe4,FL,11,data scientist,na,M,Clearwater,FL,Clearwater,FL
30,31,Data Scientist,3.8,PNNL,1001 - 5000 ,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",56,97 ,56,97,76.5,PNNL,WA,56,data scientist,na,na,Richland,WA,Richland,WA
31,32,Data Scientist,3.6,Amrock,1001 - 5000 ,1997,Company - Private,Real Estate,Real Estate,$500 million to $1 billion (USD),-1,72,120 ,72,120,96.0,Amrock,MI,24,data scientist,na,M,Detroit,MI,Detroit,MI
32,33,Data Scientist / Machine Learning Expert,3.8,Novartis,10000+ ,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,86,143 ,86,143,114.5,Novartis,MA,25,data scientist,na,na,Cambridge,MA,Basel,Switzerland
33,34,Data Scientist,3.8,Juniper Networks,5001 - 10000 ,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),-1,93,149 ,93,149,121.0,Juniper Networks,CA,25,data scientist,na,M,Sunnyvale,CA,Sunnyvale,CA
34,35,Data Scientist,4.7,New England Biolabs,201 - 500 ,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,"Thermo Fisher Scientific, Enzymatics, Illumina",85,140 ,85,140,112.5,New England Biolabs,MA,47,data scientist,na,na,Ipswich,MA,Ipswich,MA
35,36,Web Data Analyst,4.2,Clarity Insights,201 - 500 ,2008,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,77,135 ,77,135,106.0,Clarity Insights,CA,13,analyst,na,na,San Jose,CA,Chicago,IL
36,37,Data Scientist,3.5,Esri,1001 - 5000 ,1969,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),Pitney Bowes,82,132 ,82,132,107.0,Esri,CA,52,data scientist,na,M,Redlands,CA,Redlands,CA
